Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,,,,,9,97,1,77,51,1
Sumatera Utara,1,,,,19,112,,41,44,
Sumatera Barat,1,,,1,14,72,1,14,33,
Riau,1,,,,3,79,,168,8,1
Jambi,,,,,4,24,,56,8,1
Sumatera Selatan,,,,,3,28,1,29,24,
Bengkulu,1,,,,6,11,2,11,7,
Lampung,,,,,3,19,1,28,23,
Kepulauan Bangka Belitung,,,,,1,12,1,89,22,
Kepulauan Riau,,,,,2,11,1,71,17,3
DKI Jakarta,,,,,7,7,,,3,
Jawa Barat,13,,,,185,107,61,152,326,
Jawa Tengah,2,,,1,125,95,31,204,171,
DI Yogyakarta,1,,,,24,6,1,87,57,
Jawa Timur,1,,,,5,41,1,27,59,
Banten,,,,,1,28,4,10,19,
Bali,2,,,,23,5,9,15,13,
Nusa Tenggara Barat,,,,,24,69,9,2,52,
Nusa Tenggara Timur,3,,,1,10,29,2,14,50,4
Kalimantan Barat,,,,,2,37,,72,5,
Kalimantan Tengah,,,,,3,40,,147,7,5
Kalimantan Selatan,,,,,8,48,2,437,43,1
Kalimantan Timur,,,,,26,33,1,186,6,
Kalimantan Utara,,,,,14,19,,40,2,
Sulawesi Utara,,,,1,2,16,2,4,7,
Sulawesi Tengah,2,,,,5,61,2,10,20,5
Sulawesi Selatan,,,,,32,52,12,27,142,2
Sulawesi Tenggara,,,,,,3,3,1,4,1
Gorontalo,,,,,,21,21,6,5,
Sulawesi Barat,,,,,17,14,1,7,20,1
Maluku,1,,,,9,19,3,13,4,
Maluku Utara,2,,,,1,27,,,8,5
Papua Barat,,,,,1,1,,6,1,
Papua Barat Daya,,,,,,5,,,,
Papua,2,,,,2,4,,,,3
Papua Selatan,,,,,,2,,,,
Papua Tengah,,,,,,,1,,,
Papua Pegunungan,,,,,1,1,,,,
Indonesia,31,...,...,4,591,1255,174,2051,1261,33
,,,,,,,,,,
Catatan,,,,,,,,,,
_,,,,,,,,,,
